source_headword	AZ	example_AZ
take	götürmək; aparmaq	Bileti götürün.
talk	danışmaq; söhbət	Biz dərsdən sonra danışırıq.
tall	hündür; uzun	Müəllimim hündürboydur.
taxi	taksi	Taksi çöldədir.
tea	çay	Bu çay istidir.
teach	öyrətmək	Mən ingilis dilini öyrədirəm.
teacher	müəllim	Müəllim gülümsəyir.
team	komanda	Bizim komanda bu gün qalib gəlir.
teenager	yeniyetmə	Yeniyetmə kitab oxuyur.
telephone	telefon; zəng etmək	Telefon masanın üstündədir.
television	televizor	Televizor yenidir.
tell	demək	Adınızı mənə deyin.
ten	on	Məndə on kitab var.
tennis	tennis	Biz bu gün tennis oynayırıq.
terrible	çox pis; dəhşətli	Hava çox pisdir.
test	test; imtahan; yoxlamaq	Test indi başlayır.
text	mesaj; mətn	Qısa mesaj göndərin.
than	-dən daha	On rəqəmi ikidən çoxdur.
thank	təşəkkür etmək	Müəlliminizə təşəkkür edin.
thanks	təşəkkür	Yardımınız üçün təşəkkürlər.
that	o; həmin	Həmin kitab mənimdir.
the	ingilis dilində müəyyən artikl	Çay ilıqdır.
theatre	teatr	Teatr stansiyanın yanındadır.
their	onların	Onların evi böyükdür.
them	onları; onlara	Mən onları tanıyıram.
then	sonra; o zaman	Yeyin, sonra oxuyun.
there	orada	Orada stul var.
they	onlar	Onlar məktəbdədir.
thing	əşya; şey	Bu əşya faydalıdır.
think	düşünmək	Mən ev haqqında düşünürəm.
third	üçüncü	Bu üçüncü dərsdir.
thirsty	susamış	Mən susamışam.
thirteen	on üç	O, on üç yaşındadır.
thirty	otuz	Bacım otuz yaşındadır.
this	bu	Bu bilet yenidir.
thousand	min	Min nəfər gəldi.
three	üç	Mən üç quş görürəm.
through	vasitəsilə; içindən	Biz parkdan keçirik.
Thursday	cümə axşamı	Biz cümə axşamı görüşürük.
ticket	bilet	Mənə bilet lazımdır.
time	vaxt; zaman	Saat neçədir?
tired	yorğun	Mən yorğunam.
title	başlıq	Başlığı oxuyun.
to	-a; tərəfə; üçün	Mən dərsə gedirəm.
today	bu gün	Bu gün günəşlidir.
together	birlikdə	Biz birlikdə yemək yeyirik.
toilet	tualet	Tualet təmizdir.
tomato	pomidor	Bu pomidor qırmızıdır.
tomorrow	sabah	Sabah görüşərik.
tonight	bu gecə	Biz bu gecə oxuyuruq.
too	da; çox	Mən də çay istəyirəm.
tooth	diş	Dişim ağrıyır.
topic	mövzu	Bir mövzu seçin.
tourist	turist	Turist şəkillər çəkir.
town	qəsəbə; şəhər	Bu qəsəbə sakitdir.
traffic	yol hərəkəti; tıxac	Yol hərəkəti yavaşdır.
train	qatar	Qatar gecikir.
