source_headword	FI	example_FI
absolutely	ehdottomasti	Olen ehdottomasti samaa mieltä kanssasi.
academic	akateeminen	Akateeminen vuosi alkaa syyskuussa.
access	pääsy	Opiskelijat tarvitsevat pääsyn kirjastoon.
accommodation	majoitus	Varasimme majoituksen aseman läheltä.
account	tili	Hän avasi uuden pankkitilin.
achievement	saavutus	Kurssin suorittaminen oli suuri saavutus.
ad	mainos	Mainos esitteli uuden puhelimen.
addition	lisä	Uima-allas on hyödyllinen lisä.
admire	ihailla	Ihailen hänen rauhallista asennettaan.
admit	myöntää	Hän myönsi virheensä.
advanced	edistynyt	Tämä on edistynyt englannin kurssi.
advise	neuvoa	Lääkärit neuvovat liikkumaan säännöllisesti.
afford	olla varaa	Meillä ei ole varaa taksiin.
aged	ikäinen	Kurssi on kymmenvuotiaille lapsille.
agent	agentti	Matkatoimiston agentti muutti lippumme.
agreement	sopimus	He pääsivät sopimukseen tänään.
ahead	edessä	Edessä oleva tie on vapaa.
aim	pyrkiä	Pyrimme lopettamaan pian.
alarm	hälytys	Hälytys soi kuudelta.
album	albumi	Tässä albumissa on kymmenen kappaletta.
alcohol	alkoholi	Hotelli ei tarjoile alkoholia.
alcoholic	alkoholipitoinen	Tämä juoma ei ole alkoholipitoinen.
amazed	hämmästynyt	Hän oli hämmästynyt tuloksesta.
ambition	kunnianhimo	Hänen kunnianhimonsa on tulla lentäjäksi.
ambitious	kunnianhimoinen	Hänellä on kunnianhimoinen suunnitelma.
analyse	analysoida	Meidän täytyy analysoida tulokset.
analysis	analyysi	Hänen analyysinsä oli selkeä ja huolellinen.
announce	ilmoittaa	He ilmoittavat voittajan huomenna.
announcement	ilmoitus	Ilmoitus yllätti kaikki.
annoy	ärsyttää	Kova musiikki voi ärsyttää naapureita.
annoyed	ärsyyntynyt	Hän näytti ärsyyntyneeltä viivästyksen jälkeen.
annoying	ärsyttävä	Tuo ääni on todella ärsyttävä.
apart	erillään	Talot ovat kahden metrin päässä toisistaan.
apologize	pyytää anteeksi	Pyydän anteeksi myöhästymistäni.
application	hakemus	Täytä hakemus verkossa.
appointment	aika	Minulla on hammaslääkäriaika huomenna.
appreciate	arvostaa	Arvostan apuasi.
approximately	noin	Kävely kestää noin kaksikymmentä minuuttia.
arrest	pidättää	Poliisi pidätti kuljettajan.
arrival	saapuminen	Saapumisemme oli odotettua myöhemmin.
assignment	tehtävä	Tehtävä pitää palauttaa perjantaina.
assist	avustaa	Hoitajat avustavat lääkäriä.
atmosphere	ilmapiiri	Kahvilassa on rento ilmapiiri.
attach	liittää	Liitä tiedosto sähköpostiisi.
attitude	asenne	Hänen asenteensa muuttui kokouksen jälkeen.
attract	houkutella	Kirkkaat kukat houkuttelevat mehiläisiä.
attraction	nähtävyys	Linna on suosittu nähtävyys.
authority	viranomainen	Paikallinen viranomainen korjasi tien.
aware	tietoinen	Hän on tietoinen riskistä.
backwards	taaksepäin	Hän käveli varovasti taaksepäin.
bake	leipoa	Leivon leipää joka sunnuntai.
balance	tasapaino	Hyvät kengät auttavat tasapainoa.
ban	kieltää	Kaupunki kieltää autot.
bank (river)	törmä	Istuimme joen törmällä.
base	tukikohta	Joukkue palasi tukikohtaan.
basic	perus	Jokainen tarvitsee perustason tietokonetaitoja.
basis	perusta	Luottamus on ystävyyden perusta.
battery	akku	Puhelimeni akku on vähissä.
battle	taistelu	Taistelu kesti koko yön.
beauty	kauneus	Ihailimme vuorten kauneutta.
bee	mehiläinen	Mehiläinen laskeutui kukalle.
belief	usko	Hänen uskonsa antoi hänelle rohkeutta.
bell	kello	Koulun kello soi kovaa.
bend	taivuttaa	Taivuta polviasi, kun nostat.
bite	purra	Koira saattaa purra vieraita.
block	tukkia	Kaatunut puu tukki tien.
bomb	pommi	Pommi vaurioitti useita rakennuksia.
border	raja	He ylittivät rajan yöllä.
bother	häiritä	Älä häiritse siskoasi.
branch	oksa	Oksa katkesi myrskyssä.
brand	brändi	Tämä brändi on suosittu opiskelijoiden keskuudessa.
brave	rohkea	Rohkea mies pelasti lapsen.
breath	henkäys	Vedä syvä henkäys.
breathe	hengittää	En voi hengittää tässä savussa.
breathing	hengitys	Hänen hengityksensä oli hidasta.
bride	morsian	Morsiamella oli valkoinen mekko.
bubble	kupla	Kupla leijui lasin yläpuolella.
bury	haudata	He hautasivat laatikon hiekkaan.
calm	rauhallinen	Pysy rauhallisena kokeen aikana.
campaign	kampanja	Kampanja keräsi rahaa kouluille.
campus	kampus	Opiskelijat asuvat kampuksen lähellä.
candidate	ehdokas	Jokainen ehdokas vastasi kolmeen kysymykseen.
cap	lippalakki	Hänellä oli lippalakki.
captain	kapteeni	Kapteeni puhui joukkueelle.
careless	huolimaton	Huolimaton virhe maksoi meille aikaa.
category	kategoria	Valitse oikea kategoria.
ceiling	katto	Katto maalattiin valkoiseksi.
celebration	juhla	Juhla kesti koko illan.
central	keskeinen	Hotellilla on keskeinen sijainti.
ceremony	seremonia	Seremonia alkoi keskipäivällä.
chain	ketju	Hän käytti hopeaketjua.
challenge	haaste	Tämä projekti on todellinen haaste.
champion	mestari	Mestari kiitti valmentajaansa.
channel	kanava	Vaihda kanavaa, kiitos.
chapter	luku	Lue seuraava luku tänä iltana.
charge	maksu	Lapsilta ei peritä maksua.
cheat	huijata	Älä huijaa kokeessa.
cheerful	iloisen kuuloinen	Hän kuulosti iloiselta tänä aamuna.
chemical	kemiallinen	Kemiallinen haju oli voimakas.
chest	rinta	Hänen rintaansa sattui juoksemisen jälkeen.
childhood	lapsuus	Muistan lapsuudenkotini.
claim	väittää	He väittävät, että tuote on turvallinen.
clause	lauseke	Tämä lauseke muuttaa merkityksen.
click	napsauttaa	Napsauta sinistä painiketta.
client	asiakas	Asiakas pyysi lisää yksityiskohtia.
cloth	liina	Pyyhi pöytä tällä liinalla.
clue	vihje	Vihje auttoi meitä ratkaisemaan sen.
coal	kivihiili	Vanha juna käytti kivihiiltä.
coin	kolikko	Hän löysi kolikon lattialta.
collection	kokoelma	Hänen postimerkkikokoelmansa on suuri.
coloured	värillinen	Hänellä oli värillinen huivi.
combine	yhdistää	Yhdistä jauhot ja vesi.
commercial	mainoskatko	Mainoskatko kesti viisi minuuttia.
commit	sitoutua	Meidän täytyy sitoutua suunnitelmaan.
communication	viestintä	Hyvä viestintä ehkäisee virheitä.
comparison	vertailu	Tämä vertailu on hyödyllinen.
competitive	kilpailtu	Markkinat ovat hyvin kilpailtuja.
competitor	kilpailija	Pääkilpailijamme laski hintoja.
complaint	valitus	Hän teki valituksen melusta.
complex	monimutkainen	Ohjeet ovat liian monimutkaiset.
concentrate	keskittyä	En voi keskittyä, kun musiikki soi.
conclude	päättää	Päätämme kokouksen nyt.
conclusion	johtopäätös	Hänen johtopäätöksensä vaikutti järkevältä.
confident	itsevarma	Hän tunsi olonsa itsevarmaksi ennen haastattelua.
confirm	vahvistaa	Vahvista sähköpostiosoitteesi.
confuse	hämmentää	Nämä kaksi nimeä hämmentävät minua.
confused	hämmentynyt	Tunsin oloni hämmentyneeksi kartan takia.
connection	yhteys	Internet-yhteys on hidas.
consequence	seuraus	Unen puutteella on seuraus.
consist	koostua	Ateria koostuu kolmesta ruokalajista.
consume	kuluttaa	Suuret autot kuluttavat enemmän polttoainetta.
consumer	kuluttaja	Kuluttaja haluaa selkeää tietoa.
contact	ottaa yhteyttä	Ota minuun yhteyttä lounaan jälkeen.
container	astia	Laita keitto astiaan.
content1	sisältö	Kurssin sisältö on hyödyllinen.
continuous	jatkuva	Kone piti jatkuvaa ääntä.
contrast	kontrasti	Kontrasti heidän välillään on selvä.
convenient	kätevä	Asema on erittäin kätevä.
convince	vakuuttaa	Hän vakuutti hänet yrittämään uudelleen.
costume	puku	Hänellä oli merirosvopuku.
cottage	mökki	He vuokrasivat pienen mökin.
cotton	puuvilla	Tämä paita on tehty puuvillasta.
countryside	maaseutu	Kävelimme maaseudun halki.
court	oikeus	Juttu meni oikeuteen.
covered	peitetty	Pöytä oli peitetty papereilla.
cruel	julma	Oli julmaa nauraa.
cultural	kulttuurinen	Museo tarjoaa kulttuuritapahtumia.
currency	valuutta	Paikallinen valuutta on euro.
current	nykyinen	Nykyinen tilanne on vaikea.
currently	tällä hetkellä	Hän opiskelee tällä hetkellä ulkomailla.
curtain	verho	Sulje verho yöllä.
custom	tapa	Tämä tapa on hyvin vanha.
damage	vahinko	Myrsky aiheutti vakavaa vahinkoa.
decade	vuosikymmen	He asuivat siellä vuosikymmenen.
decorate	koristella	Koristelemme huoneen yhdessä.
define	määritellä	Voitko määritellä tämän termin?
definite	varma	Tarvitsemme varman vastauksen.
definition	määritelmä	Kirjoita määritelmä vihkoosi.
deliver	toimittaa	He toimittavat ruokaa kotiimme.
departure	lähtö	Lähtöaika muuttui.
despite	huolimatta	Sateesta huolimatta kävelimme.
destination	määränpää	Pariisi oli heidän lopullinen määränpäänsä.
determine	määrittää	Testit määrittävät tasosi.
determined	päättäväinen	Hän oli päättäväinen onnistumaan.
development	kehitys	Kaupungin kehitys oli nopeaa.
diagram	kaavio	Piirrä yksinkertainen kaavio.
diamond	timantti	Sormuksessa oli pieni timantti.
difficulty	vaikeus	Hänellä oli vaikeuksia avata ovea.
directly	suoraan	Puhu minulle suoraan.
dirt	lika	Hänen kenkänsä olivat lian peitossa.
disadvantage	haitta	Pitkä matka on haitta.
disappointed	pettynyt	Hän tunsi olonsa pettyneeksi tuloksen takia.
disappointing	pettymyksellinen	Loppu oli pettymyksellinen.
discount	alennus	Opiskelijat saavat täällä alennuksen.
dislike	inhota	Inhoan hyvin kovaa musiikkia.
divide	jakaa	Jaa kakku paloihin.
documentary	dokumentti	Katsoimme dokumentin avaruudesta.
donate	lahjoittaa	Monet ihmiset lahjoittavat vanhoja vaatteita.
doubt	epäilys	Minulla ei ole siitä epäilystäkään.
dressed	pukeutunut	Hän oli pukeutunut mustaan.
drum	rumpu	Rumpu kuului huoneen halki.
drunk	humalassa	Kuljettaja oli humalassa.
due	määräaikainen	Raportti pitää palauttaa huomenna.
dust	pöly	Pöly peitti vanhat kirjat.
duty	velvollisuus	Minun velvollisuuteni on auttaa.
earthquake	maanjäristys	Maanjäristys vaurioitti siltaa.
eastern	itäinen	Itärannikko on tuulinen.
economic	taloudellinen	Maa kohtaa taloudellisia ongelmia.
economy	talous	Talous kasvoi tänä vuonna.
