simplified	TR	example_TR
爱	sevmek; hoşlanmak	Annemi seviyorum.
八	sekiz	Sekiz kitabım var.
爸爸	baba; babacık	Babam evde.
杯子	bardak	Bu bardak büyük.
北京	Pekin	Pekin'de çalışıyorum.
本	kitaplar için ölçü sözü; cilt	Bir kitabım var.
不	hayır; değil; -me/-ma	Pilav yemiyorum.
不客气	rica ederim; bir şey değil	Teşekkür ederim. Rica ederim.
菜	yemek; sebze	Bu yemek lezzetli.
茶	çay	Çay içiyorum.
吃	yemek	Elma yiyorum.
出租车	taksi	Okula taksiyle gidiyorum.
打电话	telefon etmek; aramak	Telefon ediyorum.
大	büyük	Bu okul büyük.
的	iyelik parçacığı	Bu benim kitabım.
点	saat; nokta; biraz	Şimdi saat sekiz.
电脑	bilgisayar	Bilgisayarım masanın üzerinde.
电视	televizyon	Televizyon izliyorum.
电影	sinema; film	Film izlemeyi seviyorum.
东西	şey; eşya	Bu ne?
都	hepsi; tümü	Hepimiz öğrenciyiz.
读	okumak	Kitap okuyorum.
对不起	özür dilerim; pardon	Özür dilerim, sizi tanımıyorum.
多	çok; daha fazla	Çok arkadaşım var.
多少	kaç; ne kadar	Bu bardak ne kadar?
儿子	oğul; erkek çocuk	Oğlum öğrenci.
二	iki	Şubatta hava soğuk.
饭馆	restoran; lokanta	Restoran okulun önünde.
飞机	uçak	Pekin'e uçakla gidiyorum.
分钟	dakika	Beş dakika ders çalışıyorum.
高兴	mutlu; sevinçli	Bugün çok mutluyum.
个	genel ölçü sözü	Bir arkadaşım var.
工作	çalışmak; iş	Pekin'de çalışıyorum.
狗	köpek	Köpekleri seviyorum.
汉语	Çince	Çince öğreniyorum.
好	iyi	Bugün hava güzel.
喝	içmek	Su içiyorum.
和	ve; ile	Arkadaşımla okula gidiyorum.
很	çok	O çok güzel.
后面	arka; arkasında	Okul restoranın arkasında.
回	dönmek	Eve dönüyorum.
会	yapabilmek; bilmek	Çince konuşabiliyorum.
火车站	tren istasyonu	Tren istasyonu büyük.
几	kaç; birkaç	Kaç arkadaşın var?
家	ev; aile	Evim Pekin'de.
叫	adlandırılmak; çağırmak	Adın ne?
今天	bugün	Bugün hava sıcak.
九	dokuz	Şimdi saat dokuz.
开	açmak; çalıştırmak	Bilgisayarı açıyorum.
看	bakmak; görmek; okumak	Kitap okuyorum.
看见	görmek	Öğretmeni görüyorum.
块	parça; yuan	Bu kitap on yuan.
来	gelmek	O okula geliyor.
老师	öğretmen	Öğretmen okulda.
了	tamamlanmış eylem parçacığı	Pilavı yedim.
冷	soğuk	Bugün hava soğuk.
里	içinde; -de/-da	Bardakta su var.
零	sıfır	Sıfır bir değildir.
六	altı	Şimdi saat altı.
妈妈	anne; anneciğim	Annem çay içiyor.
吗	evet-hayır soru parçacığı	Öğrenci misin?
买	satın almak; almak	Elma alıyorum.
猫	kedi	Kedi sandalyenin üzerinde.
没	yok; yapmadı	Param yok.
没关系	sorun değil; önemli değil	Sorun değil.
米饭	pişmiş pirinç; pilav	Pilav yiyorum.
名字	ad	Adın ne?
明天	yarın	Yarın Pekin'e gidiyorum.
哪	hangi; nerede; nereye	Nereye gidiyorsun?
那	o; onlar; oradaki	O benim öğretmenim.
呢	soru parçacığı; ya	Ya sen?
能	yapabilmek; mümkün olmak	Gidebilir miyim?
你	sen; siz	Nasılsın?
年	yıl	Bir yılda on iki ay vardır.
女儿	kız evlat; kız çocuk	Onun kızı çok güzel.
朋友	arkadaş	O benim arkadaşım.
漂亮	güzel	O çok güzel.
苹果	elma	Elma seviyorum.
七	yedi	Şimdi saat yedi.
前面	ön; önünde	Restoran mağazanın önünde.
钱	para	Param yok.
请	lütfen; davet etmek	Lütfen çay için.
去	gitmek	Okula gidiyorum.
热	sıcak	Bugün hava sıcak.
人	insan; kişi; insanlar	Okulda çok insan var.
认识	tanımak; tanışmak	Onu tanıyorum.
日	gün; tarih	Bugün 1 Mart.
三	üç	Üç bardağım var.
商店	mağaza	Mağaza okulun önünde.
上	üst; üzerinde	Kitap masanın üzerinde.
上午	sabah; öğleden önce	Sabah Çince öğreniyorum.
少	az; daha az	Az öğrenci var.
什么	ne	Bu ne?
十	on	On kitabım var.
时候	zaman; an	Ne zaman geleceksin?
是	olmak; -dır/-dir/-dur/-dür	Ben öğrenciyim.
书	kitap	Kitap okuyorum.
谁	kim	O kim?
水	su	Su içiyorum.
水果	meyve	Meyve alıyorum.
睡觉	uyumak	Uyumaya gidiyorum.
说话	konuşmak	Öğretmen konuşuyor.
四	dört	Dört arkadaşım var.
岁	yaşında; yaş	On yaşındayım.
他	o; erkek o	O öğretmen.
她	o; kadın o	O bir kız öğrenci.
太	çok; fazla	Bu bardak fazla büyük.
天气	hava; hava durumu	Bugün hava güzel.
听	dinlemek; duymak	Öğretmenin konuşmasını dinliyorum.
同学	sınıf arkadaşı; okul arkadaşı	O benim sınıf arkadaşım.
喂	alo	Alo?
我	ben; benim	Ben doktorum.
我们	biz	Biz okula gidiyoruz.
五	beş	Beş elmam var.
喜欢	sevmek; hoşlanmak	Çay içmeyi seviyorum.
下	alt; altında; sonraki	Kitap masanın altında.
下午	öğleden sonra	Öğleden sonra mağazaya gidiyorum.
下雨	yağmur yağmak	Bugün yağmur yağıyor.
先生	bey; bay; koca	Merhaba, beyefendi.
现在	şimdi; şu anda	Şimdi okuldayım.
想	istemek; düşünmek	Su içmek istiyorum.
小	küçük	Bu bardak küçük.
小姐	hanımefendi; genç kadın	Merhaba, hanımefendi.
些	birkaç; biraz	Birkaç kitabım var.
写	yazmak	Çince karakterler yazıyorum.
谢谢	teşekkür ederim	Teşekkür ederim.
星期	hafta; haftanın günü	Bugün pazartesi.
学生	öğrenci	Ben öğrenciyim.
学习	öğrenmek; çalışmak	Çince öğreniyorum.
学校	okul	Okul büyük.
一	bir	Bir bardağım var.
衣服	giysi; kıyafet	Giysi alıyorum.
医生	doktor	O doktor.
医院	hastane	Hastane okulun önünde.
椅子	sandalye	Sandalye masanın arkasında.
有	sahip olmak; var	Arkadaşlarım var.
月	ay; Ay	Bugün 4 Mayıs.
再见	hoşça kal; görüşürüz	Hoşça kalın, öğretmenim.
在	-de/-da; bulunmak	Evdeyim.
怎么	nasıl	Bu karakter nasıl okunur?
怎么样	nasıl; nasılsın	Bugün nasılsın?
这	bu; bunlar	Bu benim kitabım.
中国	Çin	Çin'e gidiyorum.
中午	öğle	Öğlen pilav yiyorum.
住	yaşamak; kalmak	Pekin'de yaşıyorum.
桌子	masa	Kitap masanın üzerinde.
字	karakter; harf; işaret	Bu karakter küçük.
昨天	dün	Dün film izledim.
坐	oturmak; taşıta binmek	Pekin'e uçakla gidiyorum.
做	yapmak; hazırlamak	Yemek hazırlıyorum.
