source_headword	VI	example_VI
toss	ném	Cô ấy ném chìa khóa lên bàn.
total	có tổng cộng là	Chi phí sửa chữa có tổng cộng là nhiều hơn dự kiến.
toxic	độc hại	Khói độc hại đã buộc mọi người phải ra ngoài.
trademark	nhãn hiệu	Logo đã trở thành nhãn hiệu của công ty.
trail	con đường mòn	Con đường mòn dẫn qua khu rừng.
trailer	đoạn phim giới thiệu	Đoạn phim giới thiệu đã chiếu phần kết của bộ phim.
transaction	giao dịch	Giao dịch đã xuất hiện trên bản sao kê ngân hàng của tôi.
transcript	bảng điểm	Sinh viên đã yêu cầu một bảng điểm chính thức.
transformation	sự chuyển đổi	Thành phố đã chứng kiến một sự chuyển đổi lớn.
transit	quá cảnh	Gói hàng đã bị hư hỏng trong quá trình vận chuyển.
transmission	sự truyền tải	Sự truyền tải dữ liệu đã được bảo mật.
transparency	tính minh bạch	Báo cáo kêu gọi tính minh bạch cao hơn.
transparent	minh bạch	Quá trình này nên minh bạch với mọi người.
trauma	tổn thương tâm lý	Vụ tai nạn để lại tổn thương tâm lý sâu sắc.
treaty	hiệp ước	Các quốc gia đã ký một hiệp ước hòa bình.
tremendous	to lớn	Đội đã đạt được những tiến bộ to lớn.
tribal	thuộc về bộ lạc	Bảo tàng trưng bày nghệ thuật của bộ lạc.
tribunal	tòa án	Tòa án đã nghe các bằng chứng cả tuần.
tribute	sự tri ân	Buổi hòa nhạc là một sự tri ân dành cho cô ấy.
trio	bộ ba	Bộ ba đã biểu diễn tại lễ hội.
triumph	chiến thắng	Chiến thắng là một niềm vinh quang cá nhân.
trophy	chiếc cúp	Đội trưởng đã tự hào nâng cao chiếc cúp.
troubled	gặp khó khăn	Công ty đang gặp khó khăn cần một ban lãnh đạo mới.
trustee	ủy viên quản trị	Ủy viên quản trị quản lý quỹ học bổng.
tuition	học phí	Học phí của cô ấy đã tăng năm nay.
turnout	số người tham gia	Số người đi bỏ phiếu đã cao hơn dự kiến.
turnover	tỷ lệ thay thế nhân viên	Tỷ lệ thay thế nhân viên đã giảm sau những thay đổi.
twist	vặn	Cô ấy đã vặn mở nắp.
undergraduate	sinh viên đại học	Sinh viên đại học đã tham gia vào một dự án nghiên cứu.
underlying	cơ bản	Báo cáo đã giải thích các nguyên nhân cơ bản.
undermine	làm suy yếu	Vụ bê bối đã làm suy yếu lòng tin của công chúng.
undoubtedly	chắc chắn	Cô ấy chắc chắn là ứng cử viên sáng giá nhất.
unify	hợp nhất	Kế hoạch nhằm hợp nhất các nhóm.
unprecedented	chưa từng có	Cơn bão đã gây ra thiệt hại chưa từng có.
unveil	công bố	Công ty sẽ công bố thiết kế vào ngày mai.
upcoming	sắp tới	Cuộc bầu cử sắp tới đã thu hút sự chú ý của công chúng.
upgrade	nâng cấp	Chúng tôi đã nâng cấp phần mềm vào đêm qua.
uphold	duy trì	Chúng tôi duy trì quyết định ban đầu.
utility	tiện ích	Căn hộ bao gồm tất cả các chi phí tiện ích.
utilize	tận dụng	Đội đã tận dụng dữ liệu có sẵn.
utterly	hoàn toàn	Lời giải thích hoàn toàn gây nhầm lẫn.
vacuum	khoảng trống	Khoảng trống trong ban lãnh đạo đã tạo ra sự căng thẳng.
vague	mơ hồ	Câu trả lời của anh ấy mơ hồ và yếu ớt.
validity	tính hợp lệ	Nghiên cứu đã đặt câu hỏi về tính hợp lệ của bài kiểm tra.
vanish	biến mất	Tập tin đã biến mất khỏi thư mục.
variable	biến số	Giá cả là một biến số quan trọng.
varied	đa dạng	Khóa học cung cấp các bài tập đa dạng.
vein	tĩnh mạch	Y tá đã tìm thấy một tĩnh mạch một cách nhanh chóng.
venture	dự án kinh doanh	Dự án kinh doanh mới đã thu hút các nhà đầu tư.
verbal	bằng lời nói	Họ đã đạt được một thỏa thuận bằng lời nói.
verdict	phán quyết	Bồi thẩm đoàn đã đưa ra phán quyết của mình.
verify	xác minh	Vui lòng xác minh địa chỉ email của bạn.
verse	câu thơ	Cô ấy đã trích dẫn một câu thơ từ bài thơ.
versus	so với	Cuộc tranh luận là giữa quyền riêng tư so với an ninh.
vessel	con tàu	Con tàu đã chở ngũ cốc qua biển.
veteran	người kỳ cựu	Người nhân viên kỳ cựu đã đào tạo các nhân viên mới.
viable	khả thi	Đề xuất này khả thi về mặt tài chính.
vibrant	sôi động	Thành phố có một bối cảnh nghệ thuật sôi động.
vice	thói xấu	Tham lam là thói xấu lớn nhất của anh ta.
vicious	tàn bạo	Vụ tấn công tàn bạo đã gây sốc cho thị trấn.
villager	dân làng	Một người dân làng đã dẫn chúng tôi đến con sông.
violate	vi phạm	Công ty có thể vi phạm các quy định an toàn.
violation	sự vi phạm	Thanh tra đã báo cáo một sự vi phạm nghiêm trọng.
virtue	đức tính	Kiên nhẫn là một đức tính quan trọng.
vocal	lên tiếng	Cô ấy đã lên tiếng thẳng thắn về quyết định này.
vow	thề	Anh ấy đã thề sẽ hoàn thành công việc.
vulnerability	lỗ hổng	Cuộc kiểm toán đã tiết lộ một lỗ hổng bảo mật.
vulnerable	dễ bị tổn thương	Trẻ em dễ bị tổn thương trong thời tiết nắng nóng khắc nghiệt.
ward	phòng bệnh	Bệnh nhân đã chuyển sang một phòng bệnh khác.
warehouse	nhà kho	Nhà kho lưu trữ các phụ tùng thay thế.
warfare	chiến tranh	Chiến tranh hiện đại dựa vào công nghệ.
warrant	lệnh khám xét	Cảnh sát đã cho thấy một lệnh khám xét.
warrior	chiến binh	Chiến binh đã bảo vệ ngôi làng.
weaken	làm suy yếu	Chấn thương đã làm suy yếu lực nắm của anh ấy.
weave	đan	Cô ấy đã học cách đan rổ.
weed	cỏ dại	Một cây cỏ dại mọc giữa những hòn đá.
well	cái giếng	Cái giếng của làng đã cạn khô.
well-being	sự khỏe mạnh	Giấc ngủ đóng vai trò rất quan trọng đối với sự khỏe mạnh.
whatsoever	bất cứ điều gì	Anh ấy đã không thể hiện bất kỳ sự quan tâm nào cả.
whereby	theo đó	Luật pháp đã tạo ra một hệ thống theo đó các gia đình có thể kháng cáo.
whilst	trong khi	Cô ấy làm việc trong khi anh ấy nghỉ ngơi.
whip	đập	Gió có thể đập tung những lá cờ.
wholly	hoàn toàn	Quyết định này hoàn toàn bất ngờ.
widen	mở rộng	Thành phố có kế hoạch mở rộng con đường.
widow	góa phụ	Góa phụ sống gần trường học.
width	chiều rộng	Hãy đo chiều rộng của cánh cửa.
willingness	sự sẵn lòng	Sự sẵn lòng giúp đỡ của cô ấy đã gây ấn tượng với tất cả mọi người.
wipe	lau chùi	Lau màn hình bằng một miếng vải.
wit	sự hóm hỉnh	Sự hóm hỉnh của anh ấy làm cho bài phát biểu trở nên sống động.
withdrawal	sự rút lui	Sự rút tài trợ đã làm trì hoãn dự án.
workout	buổi tập thể dục	Buổi tập thể dục kéo dài bốn mươi phút.
worship	sự thờ phượng	Mọi người tụ tập để thờ phượng vào lúc bình minh.
worthwhile	đáng giá	Chuyến đi thật đáng giá.
worthy	xứng đáng	Tổ chức từ thiện xứng đáng được hỗ trợ.
yell	la hét	Đừng la hét vào mặt nhân viên.
yield	sản lượng	Sản lượng của trang trại đã được cải thiện trong mùa này.
youngster	người trẻ tuổi	Người trẻ tuổi đã hỏi rất nhiều câu hỏi.
