source_headword	DA	example_DA
crawl	at kravle	Babyen begyndte at kravle over tæppet.
creator	en skaber	Skaberen takkede alle for deres støtte.
credibility	en troværdighed	Vidnet mistede troværdighed under afhøringen.
credible	troværdig	Rapporten tilbød troværdige beviser.
creep	at snige sig	Tågen begyndte at snige sig gennem dalen.
critique	en kritik	Professoren gav en detaljeret kritik.
crown	en krone	Dronningen bar en sølvkrone.
crude	grov	Tegningen var grov, men tydelig.
crush	at knuse	Tunge sten kan knuse røret.
crystal	et krystal	Krystallen reflekterede morgenlyset.
cult	en kult	Kulten isolerede sine medlemmer.
cultivate	at dyrke	Landmænd dyrker ris i denne region.
curiosity	en nysgerrighed	Nysgerrighed førte hende ind i videnskaben.
custody	en forældremyndighed	Barnet forblev i sin fars forældremyndighed.
cutting	et udklip	Avisen bragte et udklip om ham.
cynical	kynisk	Hans kyniske bemærkning oprørte holdet.
dam	en dæmning	Dæmningen holder flodvandet tilbage.
damaging	skadelig	Den skadelige artikel skadede kampagnen.
dawn	et daggry	Vi forlod landsbyen ved daggry.
debris	et murbrokker	Stormvraggods blokerede vejen.
debut	en debut	Hendes debut tiltrak national opmærksomhed.
decision-making	en beslutningstagning	God beslutningstagning kræver tydelig information.
decisive	afgørende	Hendes afgørende handling forhindrede yderligere skade.
declaration	en erklæring	Ministeren læste en formel erklæring op.
dedicated	dedikeret	Den dedikerede sygeplejerske arbejdede natten over.
dedication	en dedikation	Hans dedikation inspirerede yngre spillere.
deed	en gerning	Den modige gerning reddede to liv.
deem	at anse	Retten kan anse kontrakten for ugyldig.
default	en standard	Brug standardindstillingen for nu.
defect	en defekt	Inspektører fandt en alvorlig defekt.
defensive	defensiv	Hans defensive tone overraskede alle.
deficiency	en mangel	Jernmangel kan påvirke helbredet.
deficit	et underskud	Budgetunderskuddet bekymrede embedsmændene.
defy	at trodse	Demonstranter valgte at trodse forbuddet.
delegate	en delegeret	Hver delegeret modtog et stemmekort.
delegation	en delegation	Delegationen ankom før middag.
delicate	sart	Det sarte glas gik let i stykker.
