"assignmentKey","videoType","supportLang","targetOrBundle","contentScope","file","sha256","CJK text","technical status","visual review","approval"
"ordinary|home_kitchen_cooking_actions_a1_a2|EN|LV","ordinary","EN","LV","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-18-4a95b4a6c5c0-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-EN-LV.jpg","a6f3c22dc783a14879e91611826c3c7a3a23b4b9b411d2cfdc3c312f2012c160","no","passed-render","PENDING","NOT APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|EN|ML","ordinary","EN","ML","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-18-4a95b4a6c5c0-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-EN-ML.jpg","2e9c3474b2a0ac7f8a4796b479cd5f06661e1540360b9792303c3ab9194000c7","no","passed-render","PENDING","NOT APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|EN|MS","ordinary","EN","MS","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-18-4a95b4a6c5c0-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-EN-MS.jpg","50e0efa8c0c5f0aa2b6bfdc92ecacf539c13e5847493c8c95a66318178985c1f","no","passed-render","PENDING","NOT APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|EN|MY","ordinary","EN","MY","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-18-4a95b4a6c5c0-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-EN-MY.jpg","250d27d418a4195fc3a61c5fdd985506bc6c8ccb2f1edd37046d577c0cba839c","no","passed-render","PENDING","NOT APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|EN|NE","ordinary","EN","NE","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-18-4a95b4a6c5c0-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-EN-NE.jpg","06f57b548b73ddf332c5b29772488297e95982a23f6b75055064a779b272c5db","no","passed-render","PENDING","NOT APPROVED"
"polyglot|home_kitchen_cooking_actions_a1_a2|EN|slavic_core|93d499d62441|full","polyglot","EN","slavic_core:RU,PL,CS,SK","full","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-18-4a95b4a6c5c0-precommit-ready/by-assignment/polyglot-home_kitchen_cooking_actions_a1_a2-EN-slavic_core-93d499d62441-full.jpg","742fdef43053e35a19af0dd1a1fb1b985f999cd74356df0a71775cba8ef86f73","no","passed-render","PENDING","NOT APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|ES-419|LV","ordinary","ES-419","LV","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-18-4a95b4a6c5c0-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-ES-419-LV.jpg","d4b2037aaff85b9b25775f3460111cb9fc627e86e22979d6b5b21db111dc29b1","no","passed-render","PENDING","NOT APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|ES-419|ML","ordinary","ES-419","ML","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-18-4a95b4a6c5c0-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-ES-419-ML.jpg","b67688d0e54fa837baf64a07aed62add3f0c73371e0e8ff2115e245deb38a35e","no","passed-render","PENDING","NOT APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|ES-419|MS","ordinary","ES-419","MS","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-18-4a95b4a6c5c0-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-ES-419-MS.jpg","6648795d5c203a377c54a7c37ef98f35d9c462eea7d13cef176923afac1ecc99","no","passed-render","PENDING","NOT APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|ES-419|MY","ordinary","ES-419","MY","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-18-4a95b4a6c5c0-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-ES-419-MY.jpg","b6358059f73ede7b0dcd08c0e4007dcaefd25bbdb6202f803db9a696be4dc1e2","no","passed-render","PENDING","NOT APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|ES-419|NE","ordinary","ES-419","NE","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-18-4a95b4a6c5c0-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-ES-419-NE.jpg","efc37f0bb36b0e7d6074d4224883ace3319e3f8b463ba52a15cae7324a0df321","no","passed-render","PENDING","NOT APPROVED"
"polyglot|home_kitchen_cooking_actions_a1_a2|ES-419|slavic_core|93d499d62441|full","polyglot","ES-419","slavic_core:RU,PL,CS,SK","full","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-18-4a95b4a6c5c0-precommit-ready/by-assignment/polyglot-home_kitchen_cooking_actions_a1_a2-ES-419-slavic_core-93d499d62441-full.jpg","01462cd5fd12466fdd75daf8ce4ceaba93c29e12fb0be6115f0867587aa25f01","no","passed-render","PENDING","NOT APPROVED"
